Finding_ID,Priority,Status,Linked_CF,Dimensions,Title,Impact,Evidence,Root_Cause,Containment,Fix,Tests_Validation,Observability,Risk_of_Change,Rollback
F-001,P1,RESOLVED,"CF1, CF2","D06","Planet Mark / UVDB routes missing authentication","Business-sensitive carbon/UVDB data was accessible without auth","src/api/routes/planet_mark.py (16 endpoints now with CurrentUser); src/api/routes/uvdb.py (13 endpoints); tests/unit/test_auth_enforcement.py (+14 pairs)","Modules built as standalone; auth never added","RESOLVED — auth guards on all 31 endpoints","Auth guards + tenant isolation added; integration tests updated","test_auth_enforcement.py covers planet_mark/uvdb/slo/health endpoints","Unauthenticated access logging","LOW","Revert commit"
F-002,P1,RESOLVED,"CF1, CF4","D06, D13","SLO metrics endpoint unauthenticated","Internal SLO/SLI data exposed without auth","src/api/routes/slo.py (CurrentUser added) — BUT router NOT mounted (see F-009)","SLO designed as internal endpoint","RESOLVED — auth added; F-009 tracks mounting gap","Auth added to SLO endpoints","Auth enforcement test covers SLO endpoints","N/A (endpoints unreachable)","LOW","Revert auth requirement"
F-003,P1,OPEN,"CF2, CF3","D15, D17","Coverage threshold at 35%","Below industry standard (60%+); minimal safety net","pyproject.toml fail_under=35; ci.yml --cov-fail-under=35","Threshold lowered during uplift; never raised","Raise progressively: 35->50->65","Write behavioral tests for incident_service, audit_service, reference_number; raise fail_under","CI unit-tests passes at new threshold","Coverage trend via quality_trend","MEDIUM","Lower threshold temporarily"
F-004,P1,RESOLVED,"CF1","D06","No Content Security Policy header","XSS vulnerability without CSP","src/main.py SecurityHeadersMiddleware (L30-40) — CSP added with strict defaults","CSP deferred during initial development","RESOLVED — CSP added","Strict CSP: default-src self; script-src self; frame-ancestors none","Security header test validates CSP presence","CSP violation reports via report-uri (pending)","LOW","Remove CSP header"
F-005,P1,OPEN,"CF2, CF3","D21, D09","Mypy type safety debt (30 overrides — GOVPLAT-004)","Type errors masked in workflow engine / risk scoring / AI services","pyproject.toml — 30 [[tool.mypy.overrides]] blocks","Rapid feature development outpaced annotations","Fix critical-path modules first","Resolve module-by-module; reduce 5/sprint; set ceiling; CI gate on count","mypy passes with fewer overrides","Override count in quality trend","LOW-MEDIUM","Re-add override for specific module"
F-006,P1,OPEN,"CF2","D15, D02","No Playwright E2E test specs","Frontend user journeys untested in browser context","frontend/package.json @playwright/test; frontend/playwright.config.ts; no spec files","Playwright added but specs never written","Create 3 critical-path specs first","Build E2E suite: login, incident CRUD, dashboard, audit, portal","Playwright CI job passes; 5+ specs","E2E pass rate in CI dashboard","LOW","N/A (additive)"
F-007,P1,OPEN,"CF2","D21","Flake8 overly permissive ignores","F401/F841 global ignores mask dead code; max-complexity=20","flake8 — extend-ignore includes F401 F841; max-complexity=20","Ignores added to unblock CI during rapid development","Remove F401/F841 ignores; fix violations","Reduce max-complexity to 15; fix complex functions","Flake8 CI passes with tightened rules","Flake8 violation count trend","LOW","Re-add ignores"
F-008,P1,NEW,"CF1","D06, D05","Rate limiter authenticated multiplier never applies","Authenticated users get same limits as anonymous; 2x multiplier dead code","src/infrastructure/middleware/rate_limiter.py L253: startswith('user:') — get_client_identifier returns 'token:' or 'ip:'","Identifier prefix changed from user: to token: without updating multiplier","No immediate security risk (lower limits apply)","Change L253 to startswith('token:')","Unit test: authenticated client gets 2x; anonymous gets 1x","Log rate limit hits with is_authenticated","LOW","Revert single line"
F-009,P1,NEW,"CF4","D13, D28","SLO router not mounted — endpoints unreachable","SLO/SLI metrics endpoints exist but never registered; SLOMetricsMiddleware data inaccessible","src/api/routes/slo.py defines router; src/api/__init__.py has no slo import; src/main.py has no slo reference","SLO module developed after router aggregation; never added","SLOMetricsMiddleware still records internally","Add slo router to src/api/__init__.py with include_router","Integration test: GET /api/v1/slo/current returns 200/401","SLO endpoint response time","LOW","Remove include_router line"
F-010,P1,NEW,"CF4","D13, D20","OpenTelemetry vs OpenCensus dependency mismatch","azure_monitor.py uses OTel API but deps install OpenCensus; _HAS_OTEL=False; no tracing","azure_monitor.py try/except ImportError; requirements.txt has opencensus; analytics-baseline.md notes migration pending","Code refactored for OTel but deps never updated","App runs fine; just no APM/tracing","Replace opencensus with opentelemetry packages; regenerate lockfile","Verify _HAS_OTEL=True in startup; traces in Azure Monitor","Distributed traces visible","MEDIUM","Revert to opencensus deps"
F-011,P1,NEW,"CF3","D24, D06","Employee portal creates records without tenant_id","submit_quick_report creates Incident/Complaint without tenant_id; orphaned records","src/api/routes/employee_portal.py L195-220: Incident() constructor has no tenant_id; no auth","Portal designed as public; tenant association never considered","Records exist but invisible to tenant queries","Add DEFAULT_PORTAL_TENANT_ID from config; set on creation","Integration test: portal record has valid tenant_id","Alert on records with null tenant_id","MEDIUM","Remove tenant_id assignment"
F-012,P2,NEW,"CF5","D29, D22","ADR numbering collision","Duplicate ADR numbers (2x0001, 3x0003, 2x0004); no index","docs/adr/ — 9 files with 3 unique number collisions","ADRs created by different contributors without checking","Governance confusion","Renumber to ADR-0001..ADR-0009; create README index","CI validates no duplicate ADR numbers","N/A","Revert renames"
